Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,,,deFG%,dTOV%,dDRB%,dFT/FGA,,Arena,Attend.,Attend./G
1,Houston Rockets*,29.8,65,17,61,21,8.48,-0.27,8.21,114.7,106.1,+8.6,97.6,0.298,0.502,0.59,,0.551,12.7,21.3,FT/FGA,,0.521,13.4,79.9,0.171,,Toyota Center,732722,17871
2,Toronto Raptors*,25.8,59,23,60,22,7.78,-0.49,7.29,113.8,105.9,+7.9,97.4,0.25,0.377,0.575,,0.539,12.1,23,0.233,,0.501,13,77.7,0.212,,Air Canada Centre,813431,19840
3,Golden State Warriors*,28.8,58,24,56,26,5.98,-0.19,5.79,113.6,107.6,+6.0,99.6,0.239,0.339,0.603,,0.569,14.1,21,0.198,,0.504,12.6,76.3,0.186,,Oracle Arena,803436,19596
4,Utah Jazz*,26.7,48,34,53,29,4.3,0.17,4.47,108.4,103.9,+4.5,95.7,0.26,0.357,0.564,,0.527,13.7,21.5,0.195,,0.506,14,79.8,0.19,,Vivint Smart Home Arena,734806,17922
5,Philadelphia 76ers*,25.8,52,30,53,29,4.5,-0.2,4.3,109.5,105,+4.5,99.8,0.263,0.344,0.568,,0.535,14.6,25.3,0.202,,0.492,12.6,78.6,0.218,,Wells Fargo Center,833503,20361
6,Boston Celtics*,24.7,55,27,51,31,3.59,-0.35,3.23,107.6,103.9,+3.7,96,0.243,0.357,0.552,,0.518,13,21.5,0.198,,0.495,13,78.4,0.191,,TD Garden,763584,18624
7,Oklahoma City Thunder*,27.3,48,34,50,32,3.41,0,3.42,110.7,107.2,+3.5,96.7,0.275,0.345,0.546,,0.514,12.4,27.7,0.188,,0.525,14.7,77.4,0.193,,Chesapeake Energy Arena,746322,18203
8,San Antonio Spurs*,29.3,47,35,49,33,2.89,0,2.89,107.9,104.8,+3.1,95,0.245,0.282,0.543,,0.507,12.2,23.7,0.197,,0.507,13.2,78.6,0.17,,AT&T Center,754562,18404
9,Portland Trail Blazers*,25.6,49,33,48,34,2.6,0,2.6,109.1,106.4,+2.7,96.5,0.24,0.324,0.549,,0.511,12.3,23.3,0.189,,0.503,11.7,79.1,0.193,,Moda Center,795750,19409
10,Minnesota Timberwolves*,27.1,47,35,47,35,2.23,0.12,2.35,113.4,111.1,+2.3,96,0.28,0.261,0.566,,0.523,11.4,24.4,0.192,,0.539,13.9,76.4,0.189,,Target Center,699308,17056
11,Denver Nuggets,25.1,46,36,45,37,1.48,0.09,1.57,112.5,111,+1.5,96.8,0.258,0.357,0.57,,0.536,13.4,25.7,0.225,,0.539,12.6,77.5,0.173,,Pepsi Center,702796,17141
12,Indiana Pacers*,26.2,48,34,45,37,1.38,-0.2,1.18,109.5,108.1,+1.4,96,0.222,0.284,0.557,,0.525,12.3,22.7,0.198,,0.527,14.2,76.2,0.174,,Bankers Life Fieldhouse,658119,16052
13,New Orleans Pelicans*,27.6,48,34,44,38,1.3,0.18,1.48,109.6,108.3,+1.3,100.5,0.237,0.319,0.573,,0.541,13.3,20,0.173,,0.513,12.5,76.7,0.175,,Smoothie King Center,673920,16437
14,Cleveland Cavaliers*,30.6,50,32,43,39,0.94,-0.35,0.59,112.9,111.9,+1.0,98,0.275,0.379,0.584,,0.547,12.6,20.1,0.183,,0.54,12.2,77.3,0.166,,Quicken Loans Arena,843042,20562
15,Washington Wizards*,26.9,43,39,43,39,0.59,-0.06,0.53,109.3,108.7,+0.6,96.6,0.254,0.31,0.56,,0.525,13.3,23.5,0.214,,0.522,13.6,77.1,0.212,,Capital One Arena,739302,18032
16,Miami Heat*,26.5,44,38,42,40,0.48,-0.33,0.15,106.8,106.3,+0.5,95.6,0.229,0.358,0.551,,0.52,13.3,21.5,0.196,,0.507,13.1,79,0.215,,AmericanAirlines Arena,804850,19630
17,Charlotte Hornets,26.6,36,46,42,40,0.26,-0.19,0.07,109.4,109.1,+0.3,98.4,0.312,0.314,0.549,,0.508,11.4,22.2,0.173,,0.532,12.4,80.7,0.165,,Spectrum Center,671404,16376
18,Los Angeles Clippers,27,42,40,41,41,0.04,0.11,0.15,110.3,110.2,+0.1,98.7,0.299,0.314,0.564,,0.527,13.2,23.5,0.233,,0.52,12.6,76.1,0.203,,STAPLES Center,697812,17020
19,Detroit Pistons,25.9,39,43,41,41,-0.15,-0.11,-0.26,107.2,107.3,-0.1,96.2,0.227,0.333,0.543,,0.512,12.3,22.7,0.222,,0.524,13.7,78.5,0.172,,Little Caesars Arena,713945,17413
20,Milwaukee Bucks*,25.9,44,38,40,42,-0.3,-0.15,-0.45,109.8,110.1,-0.3,96.2,0.281,0.297,0.571,,0.531,12.9,20.4,0.169,,0.528,14.2,75.9,0.22,,BMO Harris Bradley Center,685303,16856
21,Los Angeles Lakers,23.7,35,47,37,45,-1.55,0.11,-1.44,106.5,108,-1.5,100.3,0.264,0.329,0.548,,0.517,13.8,23.6,0.22,,0.514,12.5,77.7,0.19,,STAPLES Center,776327,18935
22,Dallas Mavericks,27.7,24,58,33,49,-3.04,0.34,-2.7,106.3,109.5,-3.2,95.6,0.217,0.382,0.544,,0.513,11.6,18,0.188,,0.532,12.9,78.9,0.193,,American Airlines Center,811453,19792
23,New York Knicks,26.3,29,53,32,50,-3.56,0.03,-3.53,107.1,110.7,-3.6,96.8,0.216,0.266,0.544,,0.51,13.3,24.1,0.166,,0.522,12.2,76.7,0.208,,Madison Square Garden (IV),792608,19332
24,Brooklyn Nets,25.1,28,54,31,51,-3.74,0.07,-3.67,106.9,110.6,-3.7,98.9,0.26,0.411,0.551,,0.514,13.6,21,0.17,,0.517,11,77,0.201,,Barclays Center,640010,15376
25,Orlando Magic,25.6,25,57,28,54,-4.82,-0.1,-4.92,105.2,110.1,-4.9,98.1,0.238,0.342,0.545,,0.512,13.3,20,0.201,,0.525,12.8,75.6,0.187,,Amway Center,734531,17915
26,Atlanta Hawks,25.4,24,58,27,55,-5.45,0.15,-5.3,105,110.6,-5.6,98.3,0.236,0.363,0.547,,0.512,14.1,21.1,0.18,,0.536,13.6,76.2,0.183,,Philips Arena,590769,14409
27,Memphis Grizzlies,26,22,60,25,57,-6.21,0.39,-5.81,104.5,111,-6.5,94.9,0.255,0.317,0.539,,0.5,14,22.4,0.185,,0.529,13.8,76.5,0.256,,FedEx Forum,653863,15948
28,Chicago Bulls,24.4,27,55,23,59,-7.04,0.2,-6.84,103.8,110.9,-7.1,98.3,0.216,0.35,0.529,,0.497,12.6,20.6,0.201,,0.542,12.4,80.6,0.184,,United Center,851824,20776
29,Sacramento Kings,26.4,27,55,23,59,-6.99,0.39,-6.6,103.7,111.1,-7.4,94.9,0.194,0.278,0.529,,0.502,12.8,21.5,0.164,,0.542,13.5,77.6,0.199,,Golden 1 Center,714680,17431
30,Phoenix Suns,23.7,21,61,19,63,-9.37,0.57,-8.8,103.5,112.8,-9.3,100.3,0.275,0.32,0.532,,0.495,13.9,22.5,0.143,,0.533,11.9,76.5,0.212,,Talking Stick Resort Arena,690576,16843
,League Average,26.6,,,41,41,0,0,0,108.6,108.6,,97.3,0.252,0.337,0.556,,0.521,13,22.3,0.203,,0.521,13,77.7,0.193,,,737485,17989
,,,,,,,,,,,,,,,,,,,,,0.193,,,,,,,,,
